Check record,Record,Country,State,County,Location,Grid,Trail,Plot,Distance.begining,Side,Transect.length,N.subplots,sampling.protocol,Data(YYYYMMDD),Class,Order,Family,Subfamily,Genus,Taxon,cf,Frequency,LAT,LONG,easting (UTM),northing (UTM),Trophic.group,Observacao.variedade,Observacao,Coletor1,Determinador,Coletor2,Determinador
26,26,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,4500,230,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.97483417,-59.92097883,9670710.77,842324.37,,,,,,,
27,27,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,1500,30,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.98788375,-59.94633466,9669274.15,839498.62,,,,,,,
28,28,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,1500,130,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.98788375,-59.94633466,9669274.15,839498.62,,,,,,,
29,29,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,3500,130,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.98499302,-59.92849473,9669588.6,841484.82,,,,,,,
30,30,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,4500,55,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.98358895,-59.91957476,9669741.24,842477.91,,,,,,,
31,31,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,4500,80,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.98358895,-59.91957476,9669741.24,842477.91,,,,,,,
32,32,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,4500,80,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.98358895,-59.91957476,9669741.24,842477.91,,,,,,,
33,33,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,4500,230,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.98358895,-59.91957476,9669741.24,842477.91,,,,,,,
34,34,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,4500,230,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._A,,1,-2.98358895,-59.91957476,9669741.24,842477.91,,,,,,,
35,35,Brasil,Amazonas,Manaus,RFAD,RFAD,L3,500,30,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.94477057,-59.9620272,9674051.14,837765.43,,,,,,,
36,36,Brasil,Amazonas,Manaus,RFAD,RFAD,L3,1500,5,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.9434491,-59.95310723,9674194.7,838758.5,,,,,,,
37,37,Brasil,Amazonas,Manaus,RFAD,RFAD,L3,1500,NA,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.9434491,-59.95310723,9674194.7,838758.5,,,,,,,
38,38,Brasil,Amazonas,Manaus,RFAD,RFAD,L3,1500,NA,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.9434491,-59.95310723,9674194.7,838758.5,,,,,,,
39,39,Brasil,Amazonas,Manaus,RFAD,RFAD,L3,1500,NA,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.9434491,-59.95310723,9674194.7,838758.5,,,,,,,
40,40,Brasil,Amazonas,Manaus,RFAD,RFAD,L3,2500,55,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.94212762,-59.94426985,9674338.29,839742.39,,,,,,,
41,41,Brasil,Amazonas,Manaus,RFAD,RFAD,L3,3500,130,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.94064096,-59.93543248,9674500.15,840726.34,,,,,,,
42,42,Brasil,Amazonas,Manaus,RFAD,RFAD,L3,3500,155,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.94064096,-59.93543248,9674500.15,840726.34,,,,,,,
43,43,Brasil,Amazonas,Manaus,RFAD,RFAD,L3,4500,155,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.93923689,-59.92651251,9674652.84,841719.46,,,,,,,
44,44,Brasil,Amazonas,Manaus,RFAD,RFAD,L4,1500,130,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.95228647,-59.95178575,9673216.09,838902.89,,,,,,,
45,45,Brasil,Amazonas,Manaus,RFAD,RFAD,L4,2500,105,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.9508824,-59.94286579,9673368.78,839895.98,,,,,,,
46,46,Brasil,Amazonas,Manaus,RFAD,RFAD,L4,3500,205,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.94947833,-59.93402841,9673521.5,840879.9,,,,,,,
47,47,Brasil,Amazonas,Manaus,RFAD,RFAD,L4,4500,30,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.94807427,-59.92510844,9673674.18,841873.02,,,,,,,
48,48,Brasil,Amazonas,Manaus,RFAD,RFAD,L5,2500,5,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.95980237,-59.94154431,9672381.02,840040.33,,,,,,,
49,49,Brasil,Amazonas,Manaus,RFAD,RFAD,L5,2500,180,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.95980237,-59.94154431,9672381.02,840040.33,,,,,,,
50,50,Brasil,Amazonas,Manaus,RFAD,RFAD,L6,3500,130,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.96723568,-59.93130286,9671555.06,841177.78,,,,,,,
51,51,Brasil,Amazonas,Manaus,RFAD,RFAD,L6,4500,80,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.96583161,-59.9223829,9671707.73,842170.89,,,,,,,
52,52,Brasil,Amazonas,Manaus,RFAD,RFAD,L6,4500,205,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.96583161,-59.9223829,9671707.73,842170.89,,,,,,,
53,53,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,500,80,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.98036785,-59.95657611,9670109.25,838361.24,,,,,,,
54,54,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,1500,5,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.97896378,-59.94765614,9670261.91,839354.31,,,,,,,
55,55,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,1500,205,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.97896378,-59.94765614,9670261.91,839354.31,,,,,,,
56,56,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,1500,205,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.97896378,-59.94765614,9670261.91,839354.31,,,,,,,
57,57,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,2500,30,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.97755972,-59.93881876,9670414.6,840338.2,,,,,,,
58,58,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,3500,130,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.97615565,-59.9298988,9670567.26,841331.29,,,,,,,
59,59,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,3500,155,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.97615565,-59.9298988,9670567.26,841331.29,,,,,,,
60,60,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,4500,155,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.97483417,-59.92097883,9670710.77,842324.37,,,,,,,
61,61,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,500,5,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.98928782,-59.95517204,9669121.47,838514.75,,,,,,,
62,62,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,500,205,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.98928782,-59.95517204,9669121.47,838514.75,,,,,,,
63,63,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,3500,105,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.98499302,-59.92849473,9669588.6,841484.82,,,,,,,
64,64,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,4500,30,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.98358895,-59.91957476,9669741.24,842477.91,,,,,,,
65,65,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,4500,80,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.98358895,-59.91957476,9669741.24,842477.91,,,,,,,
66,66,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,4500,80,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._B,,1,-2.98358895,-59.91957476,9669741.24,842477.91,,,,,,,
67,67,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,500,30,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._C,,1,-2.98928782,-59.95517204,9669121.47,838514.75,,,,,,,
68,68,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,3500,180,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._C,,1,-2.98499302,-59.92849473,9669588.6,841484.82,,,,,,,
69,69,Brasil,Amazonas,Manaus,RFAD,RFAD,L6,500,80,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._D,,1,-2.97153048,-59.95789758,9671087.85,838216.88,,,,,,,
70,70,Brasil,Amazonas,Manaus,RFAD,RFAD,L6,4500,180,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._D,,1,-2.96583161,-59.9223829,9671707.73,842170.89,,,,,,,
71,71,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,4500,230,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._D,,1,-2.97483417,-59.92097883,9670710.77,842324.37,,,,,,,
72,72,Brasil,Amazonas,Manaus,RFAD,RFAD,L3,500,180,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._E,,1,-2.94477057,-59.9620272,9674051.14,837765.43,,,,,,,
73,73,Brasil,Amazonas,Manaus,RFAD,RFAD,L3,1500,NA,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._E,,1,-2.9434491,-59.95310723,9674194.7,838758.5,,,,,,,
74,74,Brasil,Amazonas,Manaus,RFAD,RFAD,L3,4500,55,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._E,,1,-2.93923689,-59.92651251,9674652.84,841719.46,,,,,,,
75,75,Brasil,Amazonas,Manaus,RFAD,RFAD,L5,3500,230,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._E,,1,-2.9583983,-59.93262434,9672533.7,841033.43,,,,,,,
76,76,Brasil,Amazonas,Manaus,RFAD,RFAD,L7,3500,155,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._E,,1,-2.97615565,-59.9298988,9670567.26,841331.29,,,,,,,
77,77,Brasil,Amazonas,Manaus,RFAD,RFAD,L8,4500,80,,250,10,manual,2009,Insecta,Isoptera,,Apicotermitinae,Anoplotermes,Anoplotermes_sp._E,,1,-2.98358895,-59.91957476,9669741.24,842477.91,,,,,,,
78,78,Brasil,Amazonas,,BR319,Igapo-acu,1,500,130,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-4.6096445,-61.2500883,NA,NA,H,,,,,,
79,79,Brasil,Amazonas,,BR319,Igapo-acu,1,1500,30,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-4.6032769,-61.257797,NA,NA,H,,,,,,
80,80,Brasil,Amazonas,,BR319,Igapo-acu,1,2500,30,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-4.5974244,-61.2654359,NA,NA,H,,,,,,
81,81,Brasil,Amazonas,,BR319,Igapo-acu,1,4500,130,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-4.5854027,-61.2787987,NA,NA,H,,,,,,
82,82,Brasil,Amazonas,,BR319,Igapo-acu,2,1500,180,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-4.6104867,-61.2637139,NA,NA,H,,,,,,
83,83,Brasil,Amazonas,,BR319,Igapo-acu,2,3500,130,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-4.5977462,-61.2765402,NA,NA,H,,,,,,
84,84,Brasil,Amazonas,,BR319,Purupuru,1,3500,180,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.3464562,-59.8295038,NA,NA,H,,,,,,
85,85,Brasil,Amazonas,,BR319,Purupuru,1,4500,80,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.34439789,-59.82082402,NA,NA,H,,,,,,
86,86,Brasil,Amazonas,,BR319,Purupuru,2,500,130,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.362924997,-59.85303702,NA,NA,H,,,,,,
87,87,Brasil,Amazonas,,BR319,Purupuru,2,500,180,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.362924997,-59.85303702,NA,NA,H,,,,,,
88,88,Brasil,Amazonas,,BR319,Purupuru,2,500,230,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.362924997,-59.85303702,NA,NA,H,,,,,,
89,89,Brasil,Amazonas,,BR319,Purupuru,2,1500,30,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.36066599,-59.84451103,NA,NA,H,,,,,,
90,90,Brasil,Amazonas,,BR319,Purupuru,2,2500,230,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.358089477,-59.83487251,NA,NA,H,,,,,,
"91,91,Brasil,Amazonas,Manaus,campusUFAM,,,3,0,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.102887,-59.978607,NA,NA,,,,""Silva,V.N.V."",""Azevedo, R. A."",""Dambros,C.S."","
"92,92,Brasil,Amazonas,Manaus,campusUFAM,,,3,0,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.102887,-59.978607,NA,NA,,,,""Silva,V.N.V."",""Azevedo, R. A."",""Dambros,C.S."","
"93,93,Brasil,Amazonas,Manaus,campusUFAM,,,3,0,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.102887,-59.978607,NA,NA,,,,""Silva,V.N.V."",""Azevedo, R. A."",""Dambros,C.S."","
"94,94,Brasil,Amazonas,Manaus,campusUFAM,,,15,0,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.105973,-59.971752,NA,NA,,,,""Silva,V.N.V."",""Azevedo, R. A."",""Dambros,C.S."","
"95,95,Brasil,Amazonas,Manaus,campusUFAM,,,5,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.099633,-59.982967,NA,NA,,,,""Silva,V.N.V."",""Azevedo, R. A."",""Dambros,C.S."","
"96,96,Brasil,Amazonas,Manaus,campusUFAM,,,6,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.097006,-59.977184,NA,NA,,,,""Silva,V.N.V."",""Azevedo, R. A."",""Dambros,C.S."","
"97,97,Brasil,Amazonas,Manaus,campusUFAM,,,7,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.094702,-59.972889,NA,NA,,,,""Silva,V.N.V."",""Azevedo, R. A."",""Dambros,C.S."","
"98,98,Brasil,Amazonas,Manaus,campusUFAM,,,9,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.088826,-59.970547,NA,NA,,,,""Silva,V.N.V."",""Azevedo, R. A."",""Dambros,C.S."","
"99,99,Brasil,Amazonas,Manaus,campusUFAM,,,14,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.098144,-59.972179,NA,NA,,,,""Silva,V.N.V."",""Azevedo, R. A."",""Dambros,C.S."","
"100,100,Brasil,Amazonas,Manaus,campusUFAM,,,14,25,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.098144,-59.972179,NA,NA,,,,""Silva,V.N.V."",""Azevedo, R. A."",""Dambros,C.S."","
"101,101,Brasil,Amazonas,Manaus,campusUFAM,,,3,50,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.102887,-59.978607,NA,NA,,,,""Silva,V.N.V."",""Azevedo, R. A."",""Dambros,C.S."","
"102,102,Brasil,Amazonas,Manaus,campusUFAM,,,6,75,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.097006,-59.977184,NA,NA,,,,""Silva,V.N.V."",""Azevedo, R. A."",""Dambros,C.S."","
"103,103,Brasil,Amazonas,Manaus,campusUFAM,,,10,75,,100,5,manual,2010,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._1,,1,-3.086623,-59.96331,NA,NA,,,,""Silva,V.N.V."",""Azevedo, R. A."",""Dambros,C.S."","
104,104,Brasil,Amazonas,,BR319,Igapo-acu,1,2500,130,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._2,,1,-4.5974244,-61.2654359,NA,NA,H,,,,,,
105,105,Brasil,Amazonas,,BR319,Purupuru,2,1500,130,,250,5,manual,2011,Insecta,Isoptera,Termitidae,Apicotermitinae,Anoplotermes,Anoplotermes_sp._2,,1,-3.36066599,-59.84451103,NA,NA,H,,,,,,
